"Structure of NEW_SMILES [idcode]","NEW_SMILES","pIC50","amw","lipinskiHBA","lipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumHeavyAtoms","NumAtoms","NumHeteroatoms","NumAmideBonds","FractionCSP3","NumRings","NumAromaticRings","NumAliphaticRings","NumSaturatedRings","NumHeterocycles","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumSpiroAtoms","NumBridgeheadAtoms","NumAtomStereoCenters","NumUnspecifiedAtomStereoCenters","labuteASA","tpsa","CrippenClogP","CrippenMR","chi0v","chi1v","chi2v","chi3v","chi4v","chi0n","chi1n","chi2n","chi3n","chi4n","hallKierAlpha","kappa1","kappa2","kappa3","Phi","Shape Index","Molecular Flexibility","Molecular Complexity"
"ff}aa@KDLxDafPrJJIIJZJHi[LDELDDPMAEP@@@","CCc1cc(OC)c(Oc2ccc(C(N)=O)cc2F)cc1F","4.67778070526608","307.296","4","2","5","1","3","22","37","6","1","0.1875","2","2","0","0","0","0","0","0","0","0","0","0","126.00783984507","61.55","3.427","77.3219","12.1518822137343","6.59477906086729","3.14988518045252","3.14988518045252","1.94279695665714","12.1518822137343","6.59477906086729","3.14988518045252","3.14988518045252","1.94279695665714","-2.63","15.7530943933885","6.4254108181933","3.16164845483149","4.60091377887721","0.59091","0.5157","0.73945"
"fjmaa@KDLxD`fPrJJIIJZJJiY``q``bAhBh@@@","CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F","7.92081875395237","293.269","4","3","4","2","3","21","34","6","1","0.133333333333333","2","2","0","0","0","0","0","0","0","0","0","0","119.323586253363","72.55","3.124","72.4347","11.1908475187704","6.20601342292147","2.94519717210672","2.94519717210672","1.79486863681877","11.1908475187704","6.20601342292147","2.94519717210672","2.94519717210672","1.79486863681877","-2.63","14.7723487400882","5.7833370789267","3.1021368403092","4.06826058149468","0.61905","0.52496","0.72413"
"ff}aa@KDLxDafPRYeUnY}}``i``bAhHj@@@","CCc1cc(O)c(Oc2ccc(C(=O)NC)cc2F)cc1F","7.08618614761628","307.296","4","2","4","2","3","22","37","6","1","0.1875","2","2","0","0","0","0","0","0","0","0","0","0","125.898499854355","58.56","3.3847","77.307","12.1134972495808","6.66733828832666","3.14993014535343","3.14993014535343","1.92717807350806","12.1134972495808","6.66733828832666","3.14993014535343","3.14993014535343","1.92717807350806","-2.63","15.7530943933885","6.4254108181933","3.16164845483149","4.60091377887721","0.63636","0.526","0.73199"
"fegPR@KCHYwPRBSLjmsO^k[AAsT\DDPMAQTtD@@","CCc1ccc(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)c(O)c1","7.55284196865778","358.369","6","2","4","2","4","26","45","7","2","0.263157894736842","3","2","1","1","1","0","1","1","0","0","0","0","149.743315411336","78.87","2.458","92.872","14.2896652752847","8.32898264135751","4.15591317607451","4.15591317607451","2.69878765902535","14.2896652752847","8.32898264135751","4.15591317607451","4.15591317607451","2.69878765902535","-3.09","17.7240264405896","7.42881653451367","3.76674037300071","5.06417464153882","0.61538","0.51804","0.73783"
"fmwPQ@KSHYppRAYAIfUVygmU{XHNVs``bAhJJihH@@","CCc1cc(O)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F","7.79588001734407","376.359","6","2","4","2","4","27","45","8","2","0.263157894736842","3","2","1","1","1","0","1","1","0","0","0","0","153.908850814262","78.87","2.5971","92.83","14.5902794791043","8.43463154452879","4.23319974692293","4.23319974692293","2.7691418154088","14.5902794791043","8.43463154452879","4.23319974692293","4.23319974692293","2.7691418154088","-3.16","18.6257355097815","7.60850117776417","3.99333239721845","5.2486640949221","0.59259","0.51562","0.7679"
"fjm@Q@BFlxD`fPrJJIIJZJJiY``q``bAhBh@@@","CCc1cc(O)c(Oc2ccc(C(=O)O)cc2F)cc1F","6.74472749489669","294.253","4","2","4","2","3","21","33","6","0","0.133333333333333","2","2","0","0","0","0","0","0","0","0","0","0","118.777929308546","66.76","3.7233","70.8761","11.0607108450808","6.14094508607664","2.90762995031363","2.90762995031363","1.77463210856303","11.0607108450808","6.14094508607664","2.90762995031363","2.90762995031363","1.77463210856303","-2.63","14.7723487400882","5.7833370789267","3.1021368403092","4.06826058149468","0.61905","0.51029","0.72413"
"fdyPb@G^dhD`dsJk|slxFLAAURuB@@","CCc1cc(O)c(Oc2ccc[nH]c2=N)cc1F","7.2518119729938","248.257","4","3","3","3","3","18","31","5","0","0.153846153846154","2","2","0","0","1","1","0","0","0","0","0","0","103.196694919195","69.1","2.69357","64.1642","9.82728448610773","5.53021497073382","2.54669371231321","2.54669371231321","1.56446028823336","9.82728448610773","5.53021497073382","2.54669371231321","2.54669371231321","1.56446028823336","-2.3","12.1646993438273","4.91203866901672","2.34450551199482","3.319637420769","0.61111","0.3648","0.72323"
"fdy`a@DTtBP}HYEDhdXhlef\lz@```J`@@","CCc1cc(O)c(Oc2cccnc2F)cc1F","7.88605664769316","251.232","3","1","3","1","3","18","29","5","0","0.153846153846154","2","2","0","0","1","1","0","0","0","0","0","0","102.676879322856","42.35","3.4201","61.7118","9.65246255461691","5.41232776014076","2.45366832776583","2.45366832776583","1.50540864035281","9.65246255461691","5.41232776014076","2.45366832776583","2.45366832776583","1.50540864035281","-2.17","12.2912197964405","4.9950222436904","2.39512643125028","3.41082868251712","0.61111","0.4702","0.70997"
"fhi@b@IJAHILrjJlyxLAAU@@@@@","CCc1cc(O)c(Oc2ccccc2)cc1F","7.43179827593301","232.254","2","1","3","1","2","17","30","3","0","0.142857142857143","2","2","0","0","0","0","0","0","0","0","0","0","99.2916959389834","29.46","3.886","63.9588","9.48198502448698","5.44688163740049","2.47989806092273","2.47989806092273","1.55503295008884","9.48198502448698","5.44688163740049","2.47989806092273","2.47989806092273","1.55503295008884","-2.03","11.4552555021567","4.86873620439508","2.55858455654195","3.2807421878792","0.64706","0.49333","0.65353"
"fdy@a@IJAHNdDfYU_f]g@q`HJhH@@@@","CCc1cc(O)c(Oc2ccccc2F)cc1F","8.09691001300806","250.244","2","1","3","1","2","18","30","4","0","0.142857142857143","2","2","0","0","0","0","0","0","0","0","0","0","103.45723134191","29.46","4.0251","63.9168","9.78259922830658","5.55253054057177","2.56545090353014","2.56545090353014","1.58549484954298","9.78259922830658","5.55253054057177","2.56545090353014","2.56545090353014","1.58549484954298","-2.1","12.3593676691993","5.0398785035276","2.42257517202375","3.46053952406619","0.61111","0.4702","0.68511"
