molecule_chembl_id,pIC50,npr1,npr2,SMILES
CHEMBL3621228,5.6401644,0.1561828,0.90516424,Cc1ccc(Oc2coc(/C=C/c3ccoc3)cc2=O)c(C)c1
CHEMBL3621746,5.8239088,0.15183158,0.97613621,O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc(Cl)c1Cl
CHEMBL3621747,5.3027706,0.20027563,0.96582067,O=c1cc(COc2ccccc2)[nH]cc1Oc1c(Cl)cccc1Cl
CHEMBL3621748,6.1426673,0.18872553,0.96560937,Cn1cc(Oc2c(Cl)cccc2Cl)c(=O)cc1COc1ccccc1
CHEMBL3621749,5.1917892,0.17826302,0.94995856,O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1c(Cl)cccc1Cl
CHEMBL3621750,4.9307022,0.087635227,0.98410356,O=c1cc(COc2ccccc2)[nH]cc1Oc1cccc([N+](=O)[O-])c1Cl
CHEMBL3621751,6.1804562,0.1046095,0.99381632,Cn1cc(Oc2cccc([N+](=O)[O-])c2Cl)c(=O)cc1COc1ccccc1
CHEMBL3621752,4.7535014,0.13224767,0.96596229,O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc([N+](=O)[O-])c1Cl
CHEMBL3621753,5.2839966,0.11913793,0.93165153,COCc1cc(=O)c(Oc2ccc(Cl)cc2)co1
CHEMBL3623390,6.167491,0.12503666,0.98062992,O=c1cc(COc2ccccc2)occ1Oc1ccc(Cl)cc1Cl
CHEMBL3623391,6.3467875,0.14176412,0.94254071,Cc1cc(Cl)ccc1Oc1coc(COc2ccccc2)cc1=O
CHEMBL3623392,6.4202166,0.14027499,0.95699865,Cc1ccc(Oc2coc(COc3ccccc3)cc2=O)c(C)c1
CHEMBL3623393,5.90309,0.12804417,0.9492963,O=c1cc(COc2ccccc2)occ1Oc1cccc(Cl)c1Cl
CHEMBL3623394,5.8477116,0.19301914,0.95768911,O=c1cc(COc2ccccc2)occ1Oc1c(Cl)cccc1Cl
CHEMBL3623395,5.4534574,0.13472371,0.94181818,Cc1c(Oc2coc(COc3ccccc3)cc2=O)cccc1[N+](=O)[O-]
CHEMBL3623396,5.3115802,0.15200585,0.91387808,Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccccc2)cc1=O
CHEMBL3623397,5.6108341,0.16129214,0.89306426,Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccoc2)cc1=O
CHEMBL3623398,5.4100504,0.16430423,0.891886,Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccco2)cc1=O
CHEMBL3623399,5.5316525,0.085896552,0.99581057,Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccnc2)cc1=O
CHEMBL3623400,5.5058455,0.15272799,0.89801341,Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccsc2)cc1=O
CHEMBL3623401,5.3400836,0.15861268,0.89509988,Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccs2)cc1=O
CHEMBL3623402,5.2350769,0.16158995,0.89375472,Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccc[nH]2)cc1=O
CHEMBL3623403,5.1911139,0.1021004,0.95896161,CC/C=C/Cc1cc(=O)c(Oc2ccc(Cl)cc2C)co1
CHEMBL3623404,5.2380724,0.11820184,0.96003324,CC(C)=CCc1cc(=O)c(Oc2ccc(Cl)cc2C)co1
CHEMBL3623405,5.3439016,0.089299999,0.98525935,O=c1cc(/C=C/c2ccccc2)occ1Oc1ccc(Cl)cc1Cl
