NEW_SMILES,similarity,ppIC$_{50}$ SVR,ppIC$_{50}$ Ridge,ppIC$_{50}$ RFR,mean,std
Cc1ccc(Oc2cn(C)c(COc3cccn3C)cc2=O)c(C)c1,0.725490196078431,6.31212331292545,6.50255884158114,6.35155301462306,6.38874505637655,0.100517951734693
Cc1cc(OC(N)=O)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.722222222222222,6.65861491530854,6.71084028953603,6.38265041164376,6.58403520549611,0.176348373467169
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(OC(N)=O)c1,0.722222222222222,6.77887740623896,6.28821900997444,6.29211513454495,6.45307051691945,0.282163767682367
Cc1cn(C)c(=O)cc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.72,6.44489876633421,6.65842976190198,6.3066676901421,6.46999873945943,0.177219201189843
Cc1ccc(Oc2cn(C)c(COc3ccc(=O)sc3)cc2=O)c(C)c1,0.716981132075472,6.6270932306047,6.6512756264568,6.40974984716662,6.56270623474271,0.133014809109855
Cc1ccc(Oc2cn(C)c(COc3ccc(=O)oc3)cc2=O)c(C)c1,0.716981132075472,6.36881510979992,6.4855812558096,6.33984767943588,6.39808134834847,0.0771489038143355
Cc1ccc(Oc2cn(C)c(COc3ccc(=O)[nH]c3)cc2=O)c(C)c1,0.716981132075472,6.27210406524549,6.66559031481505,6.36539001831491,6.43436146612515,0.205610438961305
Cc1ccc(Oc2cn(C)c(COc3ccnnc3)cc2=O)c(C)c1,0.716981132075472,6.32550776899387,6.50519515106006,6.37938104416186,6.40336132140526,0.0922126840025444
COc1cc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(O)cc1C,0.716981132075472,6.65901559493439,6.50019887710399,6.46236206187855,6.54052551130564,0.104344770282754
COc1cc(C)c(Oc2cn(C)c(COc3ccccc3)cc2=O)cn1,0.716981132075472,6.34656179712216,6.65638904713404,6.32200841792976,6.44165308739532,0.186371581554497
COn1ccc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)c1,0.716981132075472,6.44745756888736,6.61861520887988,6.42007138525611,6.49538138767445,0.107598474803966
COc1ncc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)cn1,0.716981132075472,6.39689051970708,6.73189997851798,6.37771358672384,6.5021680283163,0.199184626407915
Cc1ccc(Oc2cn(C)c(COc3cn[nH]c3)cc2=O)c(C)c1,0.716981132075472,6.31525145716178,6.75128120234743,6.36259505692736,6.47637590547886,0.239248920153234
Cc1c(Oc2cn(C)c(COc3ccccc3)cc2=O)cn(C)c1C,0.714285714285714,6.49266504500989,6.83353051823306,6.28076268687977,6.53565275004091,0.278879948961248
Cc1c(Oc2cn(C)c(COc3ccccc3)cc2=O)ccn1C,0.714285714285714,6.52594745711214,6.81374963527445,6.28094713098954,6.54021474112538,0.266687633173916
Cc1cc(=O)[nH]cc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.711538461538462,6.06640505036283,6.42388307984243,6.30658757517709,6.26562523512745,0.182225328554816
CNc1cc(C)c(Oc2cn(C)c(COc3ccccc3)cc2=O)cc1NC,0.711538461538462,6.14331300977042,6.26824396067853,6.33068158863227,6.24741285302708,0.0954054367982634
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(NC(N)=O)c1,0.709090909090909,6.84228896527713,6.7099648393618,6.34630953390438,6.6328544461811,0.256823691739239
Cc1cc(OCC2CC2)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.709090909090909,6.56567296074408,6.63249473306546,6.38411757667648,6.52742842349534,0.128529321269496
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(OCC2CC2)c1,0.709090909090909,6.69575087030411,6.42064168398472,6.31451670421796,6.47696975283559,0.196760033678594
