NEW_SMILES,similarity,ppIC$_{50}$ Ridge,ppIC$_{50}$ SVR,ppIC$_{50}$ RFR,mean,std
CCc1cc(OC(N)=O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7333333333333333,6.90553777950384,6.846554536484924,6.691563016116223,6.81455177736833,0.1105189227463005
COCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1O,0.7333333333333333,6.555380386021741,6.538578734586878,6.536509644792416,6.543489588467011,0.01034956921857433
CCOc1cc(CC)c(F)cc1Oc1ccc(C(N)=O)cc1F,0.7333333333333333,6.940546295411329,7.011368720057082,6.703147404000381,6.885020806489597,0.1614385482402797
CCc1cc(C)c(Oc2ccc(C(N)=O)cc2O)cc1F,0.7333333333333333,7.26563795141211,7.074192176759104,7.051296682792303,7.130375603654507,0.1176986743836574
CCc1cc(N)c(Oc2ccc(C(N)=O)cc2O)cc1F,0.7333333333333333,7.294757090111839,6.764669548397833,7.070723117444621,7.043383251984764,0.2660992327170859
CCCc1cc(CC)c(F)cc1Oc1ccc(C(N)=O)cc1F,0.7333333333333333,6.869265575149967,6.929234286034376,6.710144954726727,6.836214938637023,0.1132223131879987
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2[S+](C)[O-])cc1F,0.7291666666666666,7.446515024615293,7.357360762402623,7.295733242905865,7.366536343307927,0.07580850801578724
CCc1cc(O)c(Oc2ccc3cc(C(N)=O)ccc3c2F)cc1F,0.7291666666666666,7.287552944372063,6.875530144559408,7.125409990978112,7.096164359969862,0.2075624655162099
CC=Cc1cc(C(N)=O)ccc1Oc1cc(F)c(CC)cc1O,0.7291666666666666,7.388384804812201,7.008508606222435,7.211578756139326,7.202824055724654,0.1900893609549621
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1NC(C)=O,0.7291666666666666,6.974308982888588,7.000910842210945,6.897443911399455,6.957554578832995,0.05372973091623442
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1[S+](C)[O-],0.7291666666666666,6.9643874463257,7.027640849510345,6.891815728029393,6.961281341288479,0.06796581363233675
CC=Cc1cc(Oc2ccc(C(N)=O)cc2F)c(O)cc1CC,0.7291666666666666,7.09009675200506,6.844301985002211,6.855277259572444,6.929891998859905,0.1388498698620134
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2NC(C)=O)cc1F,0.7291666666666666,7.360364939486527,7.184401815846972,7.257318661189199,7.267361805507566,0.08841042801105004
CCc1ccc(Oc2ccc(C(N)=O)cc2F)c(O)c1,0.7272727272727273,6.87996625666663,6.797908346782206,6.774043035079475,6.817305879509437,0.05556195123264084
CCCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1N,0.723404255319149,6.893753955414566,6.636812821446865,6.741278756357307,6.757281844406246,0.12921594600311
CCc1cc(OS(N)(=O)=O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.723404255319149,7.00198967291164,6.377047307084553,6.775613986313381,6.718216988769858,0.3164001448271594
CCCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1C,0.723404255319149,6.825228537372437,6.641509457062799,6.717083994698537,6.727940663044592,0.0923394582675086
COc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.7209302325581395,6.471715758068349,6.621323142308524,6.440997132303397,6.511345344226757,0.09647406669881456
CCc1cc(OC(=O)O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.717391304347826,6.76616931260617,6.654544331977253,6.690050568654047,6.703588071079157,0.05703053615418584
CSCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1O,0.717391304347826,6.506523613795227,6.170900214537461,6.530218707120047,6.402547511817578,0.2009619792766909
CNCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1O,0.717391304347826,6.59924219451799,6.756879493737358,6.54458444000738,6.633568709420909,0.1102317090432188
Cc1cc(Oc2ccc(C(N)=O)cc2F)c(O)cc1CO,0.717391304347826,6.816202397134966,6.673179162736332,6.599156423619612,6.696179327830303,0.1103358253269056
CCc1cc(Cl)c(Oc2ccc(C(N)=O)cc2O)cc1F,0.717391304347826,7.516784472260983,7.055711687272422,7.035283320478922,7.202593160004109,0.272289303987018
CCc1cc(N(C)C)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.717391304347826,6.941264934045061,7.100127279536204,6.669367132104359,6.903586448561875,0.2178378464709615
CCc1cc(O)c(Oc2ccc(C(=O)C#N)cc2F)cc1F,0.717391304347826,7.480853227735585,7.31603450703594,7.377077652506816,7.391321795759446,0.0833275127795017
CCc1cc(OC)c(Oc2ccc(C(N)=O)cc2O)cc1F,0.717391304347826,7.201644684133641,6.985586390424845,7.048328749298544,7.078519941285677,0.1111482236713302
Cc1cc(Oc2ccc(C(N)=O)cc2F)c(O)cc1CN,0.717391304347826,6.642666659704988,6.694731332325327,6.57243896968063,6.636612320570315,0.06137056914412442
CCc1cc(NC)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.717391304347826,6.77380750067381,6.614634916173923,6.688203086552472,6.692215167800068,0.07966210210034862
CCNC(=O)c1ccc(Oc2cc(F)c(CC)cc2O)c(F)c1,0.717391304347826,7.340059439004677,7.049286056216179,7.247122900470145,7.212156131897,0.1485068894459194
CCc1cc(C(F)(F)F)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.717391304347826,6.955017993947394,6.803995201519895,6.729682921093866,6.829565372187052,0.1148231204306734
CCc1cc(O)c(Oc2ccc(C(=O)S(C)(=O)=O)cc2F)cc1F,0.717391304347826,7.454993876405764,6.792308709563176,7.366707918058204,7.204670168009048,0.3598334085643548
