NEW_SMILES,pIC50,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Total Surface Area,Shape Index,Molecular Flexibility,Molecular Complexity
Cc1ccc(Cc2nc(-c3ccsc3)no2)cc1,4.294992040666664,256.33,3,0,3,0,4,18,30,4,0,0.1428571428571428,3,3,0,0,2,2,0,0,0,0,0,0,109.1008205625689,38.92,3.697320000000002,71.59600000000003,10.7759790183693,6.660889875445446,3.406649630421049,3.406649630421049,2.350501804814483,-1.94,11.16760366883367,4.740601830944918,2.333160624826577,2.94117568887445,201.95,0.66667,0.47451,0.69862
COc1ccc(-c2cn(Cc3ccccc3)cn2)cc1,5.94692155651658,264.328,3,0,4,0,3,20,36,3,0,0.1176470588235294,3,3,0,0,1,1,0,0,0,0,0,0,118.0278008784813,27.05,3.607000000000002,79.75900000000004,11.36063522373621,6.55108300146106,3.22700179685286,3.22700179685286,2.151652419021528,-2.55,12.48211054645422,5.612695959491282,2.718227021766468,3.502914571500357,216.76,0.7,0.49865,0.70285
COC(=O)c1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,5.698970004336019,440.4990000000001,6,1,4,1,5,33,57,6,1,0.1851851851851852,5,4,1,0,2,1,0,1,0,0,0,0,191.1858084702106,71.77000000000001,4.380300000000004,125.3728,18.32301601291316,10.89447606627137,6.283669732450993,6.283669732450993,4.581500508850899,-4.06,20.82112256502873,8.46630002059184,3.843395606299743,5.341753648516605,332.53,0.54545,0.41823,0.9095
O=C(c1cccc(O)c1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,5.468521082957745,398.462,5,2,3,2,4,30,52,5,1,0.16,5,4,1,0,2,1,0,1,0,0,0,0,173.9750906640628,65.7,4.299300000000002,115.6981,16.4537330274854,10.05158628309362,5.823826171441667,5.823826171441667,4.353704100003092,-3.73,18.30820281053822,7.26312980082834,3.18160267473781,4.432495114427643,298.87,0.5,0.39279,0.8988
O=C(c1ccc(Cl)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,6.744727494896694,416.9080000000001,4,1,3,1,3,30,51,5,1,0.16,5,4,1,0,2,1,0,1,0,0,0,0,179.4841231387485,45.47,5.247100000000005,119.0433,17.14041285101312,10.39492619485749,6.073869872448739,6.073869872448739,4.433215518336469,-3.24,18.76744553665189,7.541801677343638,3.332957937341507,4.718011740925887,307.94,0.53333,0.39279,0.90348
CS(=O)(=O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,6.481486060122113,460.5550000000003,6,1,4,1,5,33,57,7,1,0.1923076923076923,5,4,1,0,2,1,0,1,0,0,0,0,192.17119740805,79.61,3.997200000000003,127.1431,19.04776088430475,12.66509679243103,7.388610740279544,7.388610740279544,5.189939050860981,-3.58,21.27540932892254,8.081553082651077,4.000346944179852,5.210253025661135,333.36,0.51515,0.42594,0.92506
O=C(c1cc(Cl)cc(Cl)c1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,5.744727494896694,467.3520000000002,5,2,3,2,4,32,52,7,1,0.16,5,4,1,0,2,1,0,1,0,0,0,0,194.5816231178262,65.7,5.606100000000005,125.7181,18.56681932716151,11.01881303545464,6.495641132696214,6.495641132696214,4.924956795898424,-3.15,20.73602313453755,8.079480819590167,3.574256171531396,5.235509412189817,329.71,0.46875,0.40625,0.92811
O=C(c1ccc(Cl)cc1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,6.795880017344075,432.9070000000002,5,2,3,2,4,31,52,6,1,0.16,5,4,1,0,2,1,0,1,0,0,0,0,184.2783568909445,65.7,4.952700000000003,120.7081,17.51027617732345,10.53519965927413,6.15600541217793,6.15600541217793,4.554519080344809,-3.44,19.51917085528039,7.671248966380213,3.509987047453992,4.830207072521564,314.29,0.51613,0.40176,0.91432
O=C1CCc2cc(=CCC(=O)N3CC(Oc4ccccc4)C3)cnc2=N1,6,349.39,6,0,4,0,4,26,45,6,2,0.3,4,2,2,1,3,1,1,2,0,0,0,0,150.3831045824922,71.86,0.6343999999999999,94.86600000000004,14.29807198653084,8.733945492945685,4.561910508334512,4.561910508334512,3.075573656309943,-3.02,16.44853059823954,7.074648094463526,3.63811115893259,4.475675602060014,267.01,0.69231,0.45537,0.77625
O=C1CCc2cc(=CCC(=O)N3CC(OCc4ccccc4)C3)cnc2=N1,7.301029995663981,363.417,6,0,5,0,4,27,48,6,2,0.3333333333333333,4,2,2,1,3,1,1,2,0,0,0,0,156.7480466968888,71.86,0.7721999999999998,99.02700000000004,15.00517876771739,9.172049872901837,4.844482835482969,4.844482835482969,3.203246365820933,-2.86,17.54867327848884,7.797532800113512,4.282555661074181,5.068013166203417,280.77,0.7037,0.48218,0.77436
