NEW_SMILES,pIC50,Shape Index,Molecular Flexibility,Molecular Complexity
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1cccc([N+](=O)[O-])c1Cl,4.7535014192042,0.55172,0.37992,0.81905
COCc1cc(=O)c(Oc2ccc(Cl)cc2)co1,5.2839966563652,0.72222,0.47845,0.67534
O=c1cc(COc2ccccc2)occ1Oc1ccc(Cl)cc1Cl,6.16749108729376,0.66667,0.38,0.72942
Cc1cc(Cl)ccc1Oc1coc(COc2ccccc2)cc1=O,6.34678748622466,0.66667,0.38,0.73284
Cc1ccc(Oc2coc(COc3ccccc3)cc2=O)c(C)c1,6.42021640338319,0.66667,0.38,0.72942
O=c1cc(COc2ccccc2)occ1Oc1cccc(Cl)c1Cl,5.90308998699194,0.625,0.38,0.74185
O=c1cc(COc2ccccc2)occ1Oc1c(Cl)cccc1Cl,5.84771165561694,0.625,0.4546,0.72413
Cc1c(Oc2coc(COc3ccccc3)cc2=O)cccc1[N+](=O)[O-],5.45345733652187,0.61538,0.40568,0.77625
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccccc2)cc1=O,5.31158017799729,0.66667,0.28408,0.73783
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccoc2)cc1=O,5.61083391563547,0.65217,0.2286,0.74577
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccco2)cc1=O,5.41005039867429,0.65217,0.24782,0.73783
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccnc2)cc1=O,5.53165266958784,0.66667,0.28408,0.74806
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccsc2)cc1=O,5.50584540598156,0.65217,0.2286,0.74654
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccs2)cc1=O,5.34008379993015,0.65217,0.26021,0.7473
Cc1cc(Cl)ccc1Oc1coc(C=Cc2ccc[nH]2)cc1=O,5.23507701535011,0.65217,0.28127,0.7473
CCC=CCc1cc(=O)c(Oc2ccc(Cl)cc2C)co1,5.19111413264019,0.71429,0.46705,0.7268
CC(C)=CCc1cc(=O)c(Oc2ccc(Cl)cc2C)co1,5.23807216157947,0.66667,0.43727,0.73028
O=c1cc(/C=C/c2ccccc2)occ1Oc1ccc(Cl)cc1Cl,5.34390179798717,0.66667,0.28408,0.73536
O=c1cc(/C=C/c2ccoc2)occ1Oc1ccc(Cl)cc1Cl,5.72353819582676,0.65217,0.2286,0.74264
O=c1cc(/C=C/c2cccnc2)occ1Oc1ccc(Cl)cc1Cl,5.6903698325741,0.66667,0.28408,0.74499
Cc1ccc(Oc2coc(/C=C/c3ccccc3)cc2=O)c(C)c1,5.27327279097343,0.66667,0.28408,0.73452
Cc1ccc(Oc2coc(/C=C/c3cccnc3)cc2=O)c(C)c1,5.45842075605342,0.66667,0.28408,0.74499
O=c1cc(/C=C/c2ccccc2)occ1Oc1cccc(Cl)c1Cl,5.17198493577602,0.625,0.28408,0.7473
O=c1cc(/C=C/c2ccoc2)occ1Oc1cccc(Cl)c1Cl,5.24565166428898,0.6087,0.2286,0.75402
O=c1cc(/C=C/c2cccnc2)occ1Oc1cccc(Cl)c1Cl,5.46344155742847,0.625,0.28408,0.75619
O=c1cc(/C=C/c2ccccc2)occ1Oc1c(Cl)cccc1Cl,5.31966448658544,0.625,0.37118,0.73028
O=c1cc(/C=C/c2ccoc2)occ1Oc1c(Cl)cccc1Cl,5.38510278396686,0.6087,0.33316,0.73783
O=c1cc(/C=C/c2cccnc2)occ1Oc1c(Cl)cccc1Cl,5.42712839779952,0.625,0.37118,0.74025
O=c1cc(COc2ccccc2)[nH]cc1Oc1ccc(Cl)cc1Cl,5.73992861201492,0.66667,0.37949,0.72942
Cn1cc(Oc2ccc(Cl)cc2Cl)c(=O)cc1COc1ccccc1,6.92081875395237,0.64,0.37236,0.75474
